127.0.0.1 - - [21/Jun/2023:09:55:46 +0900] "GET / HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [21/Jun/2023:09:55:47 +0900] "GET / HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [21/Jun/2023:09:55:53 +0900] "GET /first HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [21/Jun/2023:09:55:53 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [21/Jun/2023:09:56:03 +0900] "GET /ipet/community HTTP/1.1" 200 21091
0:0:0:0:0:0:0:1 - - [21/Jun/2023:09:56:03 +0900] "GET /resources/assets/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:09:56:03 +0900] "GET /resources/assets/css/community.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:09:56:03 +0900] "GET /resources/assets/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:09:56:03 +0900] "GET /resources/assets/js/jquery.dropotron.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:09:56:03 +0900] "GET /resources/assets/css/fontawesome-all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:09:56:03 +0900] "GET /resources/assets/js/browser.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:09:56:03 +0900] "GET /resources/assets/js/breakpoints.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:09:56:03 +0900] "GET /resources/assets/js/util.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:09:56:03 +0900] "GET /resources/assets/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:09:56:03 +0900] "GET /resources/assets/css/images/bg01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:09:56:03 +0900] "GET /resources/assets/css/images/bg02.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:09:56:03 +0900] "GET /resources/assets/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:09:56:05 +0900] "GET /resources/images/favicon.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:09:56:07 +0900] "GET /community/read?bno=30 HTTP/1.1" 200 19707
0:0:0:0:0:0:0:1 - - [21/Jun/2023:09:56:07 +0900] "GET /resources/images/comment.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:09:56:07 +0900] "GET /community/displayReply?imageName=member181490011_%EB%BF%85%EC%BD%A9.png HTTP/1.1" 200 124657
0:0:0:0:0:0:0:1 - - [21/Jun/2023:09:56:07 +0900] "GET /community/displayReply?imageName=member165265112_%EA%B0%90%EC%82%AC%EC%BD%A9.png HTTP/1.1" 200 72084
